Error Code(s),Type,Title (EN),Description (EN),中文說明
21001,Recoverable,Please wait a moment,"An error occurred on the front camera. Please restart Kachaka. If the problem persists, please contact the customer service center.",Please wait a moment — An error occurred on the front camera. Please restart Kachak
21002,Recoverable,Please wait a moment,"An error occurred on the baack camera. Please restart Kachaka. If the problem persists, please contact the customer service center.",Please wait a moment — An error occurred on the baack camera. Please restart Kachak
21003,Recoverable,Please wait a moment,"An error occurred on the 3D sensor. Please restart Kachaka. If the problem persists, please contact the customer service center.",Please wait a moment — An error occurred on the 3D sensor. Please restart Kachaka. 
21004,Fatal,A hardware error has occurred,"An error occurred on the laser sensor. Please restart Kachaka. If the problem persists, please contact the customer service center.",硬體錯誤，重啟後仍有問題請聯繫客服
21005,Error,Laser Sensor Error,Please make sure the laser sensor is not covered.,Laser Sensor Error — Please make sure the laser sensor is not covered.
21006,Fatal,Map loading error,"An error has occurred. Please restart Kachaka. If the problem persists, please contact the customer service center.",Map loading error — An error has occurred. Please restart Kachaka. If the proble
"21010, 21020",Fatal,A hardware error has occurred,"An error has occurred. Please restart Kachaka. If the problem persists, please contact the customer service center.",硬體錯誤，重啟後仍有問題請聯繫客服
21030~21080 (6個),Fatal,A hardware error has occurred,"An error has occurred. Please restart the device. If restarting the device does not resolve the issue, please contact our customer service center.",硬體錯誤，重啟後仍有問題請聯繫客服
21041,Error,Failed to charge,"The charging terminal may be dirty. Turn off the power of Kachaka and the charger and clean the charging terminal. If this message is displayed again after cleaning, please contact the customer service center.",充電失敗
21042,Ignore,A hardware error has occurred,An error occurred on the battery. Please contact the customer service center.,硬體錯誤，重啟後仍有問題請聯繫客服
21054,CallForSupport,A hardware error has occurred,An error occurred on the battery. Please contact the customer service center.,硬體錯誤，重啟後仍有問題請聯繫客服
"21055, 21056",Error,Motor Error,"The motor detected a large force. Please check if there is any foreign object stuck in the tire. If there is any foreign object, please remove it. Please press the power button to resume from the pause state.",Motor Error — The motor detected a large force. Please check if there is a
"21060, 21061",Error,CPU performance is low,We are temporarily unable to accept instructions. Please wait a moment.,CPU performance is low — We are temporarily unable to accept instructions. Please wai
21090,Error,A hardware error has occurred,"An error has occurred. Please restart the device. If restarting the device does not resolve the issue, please contact our customer service center.",硬體錯誤，重啟後仍有問題請聯繫客服
21091,Error,There is no free space in the system storage area,"An error has occurred. Please restart the device. If restarting the device does not resolve the issue, please contact our customer service center.",There is no free space in the system storage area — An error has occurred. Please restart the device. If restart
21092,Error,There is no free storage space,Please remove the unused map and increase the vacant space.,There is no free storage space — Please remove the unused map and increase the vacant space.
"21100, 21110",Fatal,A hardware error has occurred,"An error occurred on the battery. Please restart Kachaka. If the problem persists, please contact the customer service center.",硬體錯誤，重啟後仍有問題請聯繫客服
21101,Error,High battery temperature,Please turn off the power of Kachaka. Please make sure that the room temperature has reached the appropriate temperature and restart Kachaka.,High battery temperature — Please turn off the power of Kachaka. Please make sure that 
21102,Error,Low battery temperature,Please turn off the power of Kachaka. Please make sure that the room temperature has reached the appropriate temperature and restart Kachaka.,電量過低
21111,Warn,High battery temperature,The battery has become too hot to charge temporarily. Charging will automatically resume when the battery cools down.,High battery temperature — The battery has become too hot to charge temporarily. Chargi
21120,Fatal,A hardware error has occurred,"An error occurred on the sensor. Please restart Kachaka. If the problem persists, please contact the customer service center.",硬體錯誤，重啟後仍有問題請聯繫客服
"21130, 21140, 21150, 21160",Fatal,A hardware error has occurred,"An error occurred on the motor. Please restart Kachaka. If the problem persists, please contact the customer service center.",硬體錯誤，重啟後仍有問題請聯繫客服
"21141, 21161",Error,Motor high temperature,The motor is hot. Please turn off the power of Kachaka and wait until the temperature drops.,馬達過熱，請關閉電源等待降溫
"21170, 21180, 21200, 21210, 21220",Fatal,An error has occurred,Please reboot.,An error has occurred — Please reboot.
21190,Recoverable,Please wait a moment,"An error has occurred. Attempting recovery. If the error persists for more than 10 minutes, please restart the computer.",Please wait a moment — An error has occurred. Attempting recovery. If the error per
21230,Fatal,An error has occurred,"An error occurred on the front camera. Please restart Kachaka. If the problem persists, please contact the customer service center.",發生錯誤，需重新啟動機器人
21231,Fatal,An error has occurred,"An error occurred on the baack camera. Please restart Kachaka. If the problem persists, please contact the customer service center.",發生錯誤，需重新啟動機器人
21232,Fatal,An error has occurred,"An error occurred on the 3D sensor. Please restart Kachaka. If the problem persists, please contact the customer service center.",發生錯誤，需重新啟動機器人
21233,Fatal,An error has occurred,"An error occurred, please restart.",發生錯誤，需重新啟動機器人
22001,Error,Unable to find a route to the destination,Please check if there are any obstacles around Kachaka.,Unable to find a route to the destination — Please check if there are any obstacles around Kachaka.
22002,Error,Unable to pass the road,The route was narrow and Kachaka did not reach the destination. Please remove the surrounding obstacles.,Unable to pass the road — The route was narrow and Kachaka did not reach the destinati
23001,Error,Battery is empty,"Kachaka is returning to the charging dock because the battery is empty. If Kachaka cannot automatically return to the charging dock, place it on the charging dock by hand.",Battery is empty — Kachaka is returning to the charging dock because the batter
23002,Warn,Battery is low,,電量過低
24001,Warn,The furniture has already been registered,The registration of this furniture is skipped because it has already been registered.,The furniture has already been registered — The registration of this furniture is skipped because it has
"24002, 24003",Error,Non-genuine furniture is found,Kachaka found a furniture that seems to be non-genuine. It cannot be registered.,Non-genuine furniture is found — Kachaka found a furniture that seems to be non-genuine. It c
1000006,Warn,test_ui_title,,test_ui_title
